Date,Description,Amount
2025-10-01,Monthly Salary Deposit,5000.00
2025-10-01,Rent Payment - Downtown Apartments,-1200.00
2025-10-02,Whole Foods Market - Weekly Groceries,-127.45
2025-10-03,Shell Gas Station - Fill Up,-52.30
2025-10-03,Starbucks Coffee - Morning,-8.75
2025-10-04,Netflix Monthly Subscription,-15.99
2025-10-05,Amazon.com - Electronics Purchase,-89.99
2025-10-05,Chipotle Mexican Grill - Lunch,-14.50
2025-10-06,Uber Ride to Airport,-35.20
2025-10-07,CVS Pharmacy - Prescriptions,-42.80
2025-10-08,Electric Company - Monthly Bill,-125.00
2025-10-08,Target - Household Items,-67.34
2025-10-09,Panera Bread - Lunch,-12.85
2025-10-10,Spotify Premium Subscription,-10.99
2025-10-10,Trader Joe's - Groceries,-94.20
