service;amount;payment_date
Netflix Subscription;-15.99;2024-01-15
Spotify Premium;-9.99;2024-01-15
Grocery Shopping at Whole Foods;-125.50;2024-01-16
Uber Ride to Airport;-45.00;2024-01-17
Monthly Salary;3500.00;2024-01-20
Movie Tickets - Avatar 2;-35.00;2024-01-22
Shell Gas Station;-65.00;2024-01-23
CVS Pharmacy - Prescription;-25.50;2024-01-25
Dinner at Italian Restaurant;-85.00;2024-01-28
LA Fitness Day Pass;-20.00;2024-01-30
Adobe Photoshop Purchase;-52.99;2024-02-01
AT&T Phone Bill;-75.00;2024-02-05
Electric Bill Payment;-120.00;2024-02-10
Dropbox Storage;-11.99;2024-02-12
Concert Tickets;-150.00;2024-02-15
